,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6
δ均值,4.23,4.35,4.61,4.66,4.17,4.29,3.94,3.99,3.66,3.73,2.86,3.07,2.63,2.64,3.60,3.65
δ标准差,10.06,9.74,9.20,8.69,7.99,8.03,7.45,7.72,7.18,6.46,6.45,6.48,6.20,5.87,6.99,6.87
θ均值,3.92,4.09,4.46,4.68,4.13,4.29,4.05,4.08,4.28,4.24,2.48,2.55,2.17,2.20,3.48,3.55
θ标准差,10.31,10.75,10.46,10.73,8.80,9.08,8.04,7.66,7.34,6.09,5.76,5.80,5.18,4.83,7.03,6.47
α1均值,4.02,4.21,4.56,4.78,4.26,4.46,4.22,4.34,4.91,5.07,2.51,2.63,2.18,2.26,3.59,3.72
α1标准差,5.58,6.03,5.76,6.31,5.28,5.56,5.26,4.83,4.52,4.58,3.00,3.27,2.67,2.77,4.37,4.19
α2均值,2.92,3.05,3.47,3.58,3.88,4.15,4.81,4.90,5.80,6.39,2.09,2.16,2.28,2.31,3.76,3.88
α2标准差,7.01,7.67,8.00,8.51,8.41,8.82,9.11,9.03,9.92,10.69,4.81,5.17,4.66,4.91,8.11,8.33
α3均值,2.75,2.72,3.30,3.26,3.73,3.91,4.28,4.44,4.30,4.23,2.18,2.16,2.42,2.37,3.54,3.64
α3标准差,3.76,3.66,4.13,4.37,5.25,5.98,7.15,7.33,7.93,6.28,2.84,2.74,3.13,3.13,6.30,5.97
β均值,4.60,4.59,4.08,4.11,3.97,3.70,3.42,3.67,3.18,3.26,2.98,3.22,2.60,2.77,3.32,3.40
β标准差,5.95,5.88,6.45,6.77,7.03,7.29,8.15,7.38,6.16,5.44,4.46,4.16,4.46,4.31,6.66,6.07
δ均值,4.23,4.35,4.61,4.66,4.17,4.29,3.94,3.99,3.66,3.73,2.86,3.07,2.63,2.64,3.60,3.65
δ标准差,10.06,9.74,9.20,8.69,7.99,8.03,7.45,7.72,7.18,6.46,6.45,6.48,6.20,5.87,6.99,6.87
θ均值,3.92,4.09,4.46,4.68,4.13,4.29,4.05,4.08,4.28,4.24,2.48,2.55,2.17,2.20,3.48,3.55
θ标准差,10.31,10.75,10.46,10.73,8.80,9.08,8.04,7.66,7.34,6.09,5.76,5.80,5.18,4.83,7.03,6.47
α均值,9.69,9.99,11.33,11.62,11.87,12.53,13.30,13.68,15.00,15.69,6.79,6.95,6.89,6.94,10.89,11.25
α标准差,16.35,17.37,17.89,19.19,18.95,20.36,21.52,21.19,22.37,21.55,10.65,11.19,10.46,10.81,18.78,18.49
β均值,4.60,4.59,4.08,4.11,3.97,3.70,3.42,3.67,3.18,3.26,2.98,3.22,2.60,2.77,3.32,3.40
β标准差,5.95,5.88,6.45,6.77,7.03,7.29,8.15,7.38,6.16,5.44,4.46,4.16,4.46,4.31,6.66,6.07
θ/β均值,0.85,0.89,1.09,1.14,1.04,1.16,1.18,1.11,1.34,1.30,0.83,0.79,0.84,0.79,1.05,1.05
θ/β标准差,1.73,1.83,1.62,1.58,1.25,1.24,0.99,1.04,1.19,1.12,1.29,1.39,1.16,1.12,1.06,1.07
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),6.05,6.38,5.96,5.89,4.80,4.89,4.14,4.23,4.92,4.66,4.70,4.97,4.32,4.15,4.22,4.25
(δ+θ)/(α+β)均值,0.57,0.58,0.59,0.59,0.52,0.53,0.48,0.47,0.44,0.42,0.55,0.55,0.51,0.50,0.50,0.49
(δ+θ)/(α+β)标准差,0.91,0.88,0.81,0.75,0.65,0.62,0.52,0.54,0.51,0.47,0.81,0.80,0.76,0.71,0.55,0.54
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),3.31,3.22,3.01,2.84,2.46,2.38,2.04,2.08,1.96,1.82,2.97,2.95,2.79,2.62,2.15,2.12
δ/α均值,0.44,0.44,0.41,0.40,0.35,0.34,0.30,0.29,0.24,0.24,0.42,0.44,0.38,0.38,0.33,0.32
δ/α标准差,0.62,0.56,0.51,0.45,0.42,0.39,0.35,0.36,0.32,0.30,0.61,0.58,0.59,0.54,0.37,0.37
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),2.28,2.12,1.95,1.76,1.62,1.53,1.33,1.39,1.21,1.14,2.24,2.18,2.16,2.01,1.45,1.44
θ/δ均值,0.93,0.94,0.97,1.00,0.99,1.00,1.03,1.02,1.17,1.14,0.86,0.83,0.82,0.83,0.97,0.97
θ/δ标准差,1.02,1.10,1.14,1.23,1.10,1.13,1.08,0.99,1.02,0.94,0.89,0.90,0.84,0.82,1.01,0.94
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),4.00,4.25,4.38,4.71,4.29,4.39,4.26,4.00,4.24,3.96,3.54,3.52,3.33,3.30,3.99,3.80
δ/θ均值,1.08,1.06,1.03,1.00,1.01,1.00,0.97,0.98,0.85,0.88,1.16,1.21,1.21,1.20,1.03,1.03
δ/θ标准差,0.98,0.91,0.88,0.81,0.91,0.89,0.93,1.01,0.98,1.06,1.12,1.12,1.20,1.22,0.99,1.06
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),4.01,3.78,3.67,3.43,3.73,3.65,3.76,4.00,3.79,4.06,4.52,4.55,4.80,4.85,4.01,4.21
α/β均值,2.11,2.18,2.77,2.83,2.99,3.38,3.89,3.73,4.71,4.81,2.28,2.16,2.65,2.51,3.28,3.31
α/β标准差,2.75,2.96,2.78,2.83,2.70,2.79,2.64,2.87,3.63,3.96,2.39,2.69,2.35,2.50,2.82,3.05
下限(-3σ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上限(+3σ),10.35,11.04,11.10,11.33,11.08,11.76,11.81,12.34,15.61,16.69,9.44,10.22,9.70,10.02,11.75,12.45
